1,"The CogX Global Leadership Summit and Festival of AI & Breakthrough Technology is the biggest, most inclusive & forward thinking gathering of leaders, CEOs, entrepreneurs, policy makers, artists, academics and activists of its kind - addressing the question ""How do we get the next 10 years right?""",,
2,Monday 8th - Wednesday 10th June 2020.,,
3,"There would be 30,000 Participants, 600 Speakers, 4,500 Global Leaders, 18 Topics, 100 Side Events.",,
4,"Hope that you and your loved ones are well and staying safe in these uncertain times. Because of the COVID-19, CogX would be a virtual meeting in 2020.",,
5,"There are 18 topics:
1. Leadership
2. The Cutting Edge
3. Lab to Live _ Case Studies
4. Ethics & Society
5. Economy & Future of Work
6. The HR and Ed Tech Revolution
7. The Planet and Smart-Cities
8. Space
9. Start-up to Scale-Up to IPO and Beyond
10. Createch
11. Health, Wellbeing & COVID-19
12. Research _ The Long View
13. Web 3.0 & Decentralisation
14. Cyber & Defence
15. Gen Z
16. FinTech & Future of FS
17. Next Gen Infrastructure & Cloud
18. Industry 4.0 & Sustainable Supply Chains",,
6,"Focusing on the biggest questions of our time, leaders set our direction of travel",,
7,The tech that's coming in the next 12 to 18 months,,
8,Real world lessons and best practice examples,,
9,Building tech that works for everyone,,
10,Macro level views on the way our world functions,,
11,Powerful tools for learning and managing people,,
12,Interconnected earth and cities,,
13,The final frontier,,
14,Innovation at every stage of business,,
15,"Culture, Creativity and Technology",,
16,A 360 view on health under COVID-19,,
17,Curated by the Alan Turing Institute and Springer Nature,,
18,Addressing global challenges with distributed technology,,
19,Security in all its forms,,
20,Delivered by Gen Z - for everyone from 4-24 year olds,,
21,Key trends in finance are rapidly reshaping the competitive landscape,,
22,Bridging the digital and physical worlds,,
23,Building resilient and sustainable systems,,
24,"""CogX is a marvellous feast of everything AI. It hums like few other conferences in the world."" Said Stuart Russell,  Professor of Computer Science, UC Berkeley",,
25,"We planned for our annual gala dinner to be held on the 8th June at the History Museum in association with Artic Basecamp.  However, following the current government guidelines on COVID-19, the gala will be moving to a later date this year",, 
26,"The first event to connect global leadership with technology expertise and the public at this scale, who must engage in the discussion if we are to get the next 10 years right.",,
27,"Expand your audience with off-site attendees. Explore the vExpo, Pavilions and famous Startup Village, and engage with other innovative companies.",,
28,"This year we are asking the question, ※How do we get the next 10 years right?§. Our aims are to:
_ Move the conversation forward with concrete actions
_ Inspire current and future generations of leaders
_ Help reframe the climate emergency as the biggest economic opportunity in the last 200 years
_ Help increase understanding of the current Covid-19 pandemic and champion innovative solutions",,
